Date,P/E Ratio,Closing Price
9/1/2021,25.35,4524.09
8/1/2021,26.23,4387.16
7/1/2021,26.56,4319.94
6/1/2021,26.7,4202.04
5/1/2021,28.05,4192.66
4/1/2021,29.92,4019.87
3/1/2021,30.5,3901.82
2/1/2021,33.24,3773.86
1/1/2021,35.96,3700.65
12/1/2020,39.26,3662.45
11/1/2020,37.16,3310.24
10/1/2020,35.3,3380.8
9/1/2020,34.27,3526.65
8/1/2020,34.41,3294.61
7/1/2020,32.44,3115.86
6/1/2020,31.29,3055.73
5/1/2020,27.82,2830.71
4/1/2020,24.97,2470.5
3/1/2020,22.8,3090.23
2/1/2020,26.42,3248.92
1/1/2020,24.88,3257.85
12/1/2019,22.78,3113.87
11/1/2019,22.62,3066.91
10/1/2019,22.04,2940.25
9/1/2019,22.44,2906.27
8/1/2019,21.67,2953.56
7/1/2019,22.28,2964.33
6/1/2019,21.37,2744.45
5/1/2019,21.15,2923.73
4/1/2019,21.56,2867.19
3/1/2019,20.86,2803.69
2/1/2019,20.6,2706.53
1/1/2019,19.6,2510.03
12/1/2018,19.39,2790.37
11/1/2018,20.67,2740.37
10/1/2018,21.25,2924.59
9/1/2018,22.25,2896.72
8/1/2018,22.37,2813.36
7/1/2018,22.33,2726.71
6/1/2018,22.49,2734.62
5/1/2018,22.49,2654.8
4/1/2018,22.53,2581.88
3/1/2018,23.41,2677.67
2/1/2018,23.82,2821.98
1/1/2018,24.97,2695.81
12/1/2017,24.25,2642.22
11/1/2017,23.81,2579.36
10/1/2017,23.67,2529.12
9/1/2017,23.28,2476.55
8/1/2017,23.16,2476.35
7/1/2017,23.36,2429.01
6/1/2017,23.4,2430.06
5/1/2017,23.31,2388.33
4/1/2017,23.24,2358.84
3/1/2017,23.6,2395.96
2/1/2017,23.68,2279.55
1/1/2017,23.59,2257.83
12/1/2016,23.76,2191.08
11/1/2016,23.35,2111.72
10/1/2016,23.57,2161.2
9/1/2016,24.22,2170.86
8/1/2016,24.57,2170.84
7/1/2016,24.52,2102.95
6/1/2016,23.97,2099.33
5/1/2016,23.81,2081.43
4/1/2016,23.97,2072.78
3/1/2016,23.39,1978.35
2/1/2016,22.02,1939.38
1/1/2016,22.18,2012.66
12/1/2015,23.74,2102.63
11/1/2015,23.67,2104.05
10/1/2015,22.68,1923.82
9/1/2015,21.45,1913.85
8/1/2015,22.15,2098.04
7/1/2015,22.4,2077.42
6/1/2015,22.12,2111.73
5/1/2015,21.92,2108.29
4/1/2015,21.42,2059.69
3/1/2015,20.96,2117.39
2/1/2015,20.77,2020.85
1/1/2015,20.02,2058.2
12/1/2014,20.08,2053.44
11/1/2014,19.75,2017.81
10/1/2014,18.5,1946.16
9/1/2014,18.81,2002.28
8/1/2014,18.68,1925.15
7/1/2014,18.96,1973.32
6/1/2014,18.88,1924.97
5/1/2014,18.46,1883.68
4/1/2014,18.35,1885.52
3/1/2014,18.48,1845.73
2/1/2014,18.06,1741.89
1/1/2014,18.15,1831.98
12/1/2013,18.04,1800.9
11/1/2013,18.15,1761.64
10/1/2013,17.86,1695
9/1/2013,17.88,1639.77
8/1/2013,17.91,1706.87
7/1/2013,18.12,1614.96
6/1/2013,17.8,1640.42
5/1/2013,18.25,1582.7
4/1/2013,17.69,1562.17
3/1/2013,17.68,1518.2
2/1/2013,17.32,1513.17
1/1/2013,17.03,1462.42
12/1/2012,16.44,1409.46
11/1/2012,16.12,1427.59
10/1/2012,16.62,1444.49
9/1/2012,16.69,1404.94
8/1/2012,16.14,1375.32
7/1/2012,15.55,1365.51
6/1/2012,15.05,1278.04
5/1/2012,15.22,1405.82
4/1/2012,15.7,1419.04
3/1/2012,15.69,1374.09
2/1/2012,15.37,1324.09
1/1/2012,14.87,1277.06
12/1/2011,14.3,1244.58
11/1/2011,14.1,1218.28
10/1/2011,13.88,1099.23
9/1/2011,13.5,1204.42
8/1/2011,13.79,1286.94
7/1/2011,15.61,1339.67
6/1/2011,15.35,1314.55
5/1/2011,16.12,1361.22
4/1/2011,16.21,1332.41
3/1/2011,16.04,1306.33
2/1/2011,16.52,1307.59
1/1/2011,16.3,1271.87
12/1/2010,16.05,1206.07
11/1/2010,15.88,1184.38
10/1/2010,15.9,1146.24
9/1/2010,15.61,1080.29
8/1/2010,15.47,1125.86
7/1/2010,15.72,1027.37
6/1/2010,16.15,1070.71
5/1/2010,17.3,1202.26
4/1/2010,19.01,1178.1
3/1/2010,18.91,1115.71
2/1/2010,18.91,1089.19
1/1/2010,20.7,1132.99
12/1/2009,21.78,1108.86
11/1/2009,28.51,1042.88
10/1/2009,42.12,1029.85
9/1/2009,83.3,998.04
8/1/2009,92.95,1002.63
7/1/2009,101.87,923.33
6/1/2009,123.32,942.87
5/1/2009,123.73,877.52
4/1/2009,119.85,811.08
3/1/2009,110.37,700.82
2/1/2009,84.46,825.44
1/1/2009,70.91,931.8
12/1/2008,58.98,816.21
11/1/2008,34.99,966.3
10/1/2008,27.22,1161.06
9/1/2008,26.48,1277.58
8/1/2008,26.83,1260.31
7/1/2008,25.37,1284.91
6/1/2008,26.11,1385.67
5/1/2008,25.81,1409.34
4/1/2008,23.88,1370.18
3/1/2008,21.81,1331.34
2/1/2008,21.74,1395.42
1/1/2008,21.46,1447.16
12/1/2007,22.35,1472.42
11/1/2007,20.81,1508.44
10/1/2007,20.68,1547.04
9/1/2007,19.05,1489.42
8/1/2007,18.02,1465.81
7/1/2007,18.36,1519.43
6/1/2007,17.83,1536.34
5/1/2007,17.92,1486.3
4/1/2007,17.48,1424.55
3/1/2007,16.92,1403.17
2/1/2007,17.49,1445.94
1/1/2007,17.36,1416.6
12/1/2006,17.38,1396.71
11/1/2006,17.24,1367.81
10/1/2006,17.14,1331.32
9/1/2006,16.77,1311.01
8/1/2006,16.67,1270.92
7/1/2006,16.61,1280.19
6/1/2006,16.82,1285.71
5/1/2006,17.46,1305.19
4/1/2006,17.77,1297.81
3/1/2006,17.8,1291.24
2/1/2006,17.8,1282.46
1/1/2006,18.07,1268.8
12/1/2005,18.07,1264.67
11/1/2005,18.01,1202.76
10/1/2005,17.64,1226.7
9/1/2005,18.44,1221.59
8/1/2005,18.72,1235.35
7/1/2005,19,1194.44
6/1/2005,19,1202.22
5/1/2005,18.93,1162.16
4/1/2005,19.02,1172.92
3/1/2005,19.84,1210.41
2/1/2005,20.11,1189.41
1/1/2005,19.99,1202.08
12/1/2004,20.48,1191.37
11/1/2004,20.05,1130.51
10/1/2004,19.25,1131.5
9/1/2004,19.35,1105.91
8/1/2004,19.03,1106.62
7/1/2004,19.51,1128.94
6/1/2004,20.17,1121.2
5/1/2004,20.14,1117.49
4/1/2004,21.23,1132.17
3/1/2004,21.61,1155.97
2/1/2004,22.46,1135.26
1/1/2004,22.73,1108.48
12/1/2003,22.17,1070.12
11/1/2003,23.15,1059.02
10/1/2003,24.75,1018.22
9/1/2003,26.42,1021.99
8/1/2003,26.57,980.15
7/1/2003,27.65,982.32
6/1/2003,28.6,967
5/1/2003,28.24,916.3
4/1/2003,28.05,858.48
3/1/2003,27.92,834.81
2/1/2003,28.46,860.32
1/1/2003,31.43,909.03
12/1/2002,32.59,934.53
11/1/2002,32.03,900.96
10/1/2002,29.24,847.91
9/1/2002,28.89,878.02
8/1/2002,31.53,884.66
7/1/2002,32.46,968.65
6/1/2002,37.92,1040.68
5/1/2002,41.41,1086.46
4/1/2002,43.81,1146.54
3/1/2002,46.71,1131.78
2/1/2002,44.57,1122.2
1/1/2002,46.17,1154.67
12/1/2001,46.37,1129.9
11/1/2001,43.62,1084.1
10/1/2001,39.72,1038.55
9/1/2001,36.9,1132.94
8/1/2001,37.85,1215.93
7/1/2001,35.46,1236.72
6/1/2001,33.67,1260.67
5/1/2001,32.02,1266.44
4/1/2001,27.96,1145.87
3/1/2001,26.1,1241.23
2/1/2001,27.81,1373.47
1/1/2001,27.55,1283.27
12/1/2000,26.62,1315.23
11/1/2000,26.9,1421.22
10/1/2000,26.5,1436.23
9/1/2000,27.34,1520.77
8/1/2000,27.97,1438.1
7/1/2000,28.05,1469.54
6/1/2000,28.16,1448.81
5/1/2000,27.49,1468.25
4/1/2000,28.5,1505.97
3/1/2000,28.31,1379.19
2/1/2000,27.76,1409.28
1/1/2000,29.04,1455.22
12/1/1999,29.66,1397.72
11/1/1999,29.74,1354.12
10/1/1999,28.66,1282.81
9/1/1999,29.99,1331.07
8/1/1999,30.89,1328.05
7/1/1999,32.88,1380.96
6/1/1999,32.24,1294.26
5/1/1999,33.19,1354.63
4/1/1999,34,1293.72
3/1/1999,33.39,1236.16
2/1/1999,32.67,1273
1/1/1999,32.92,1228.1
12/1/1998,31.56,1175.28
11/1/1998,30.25,1111.6
10/1/1998,27.2,986.39
9/1/1998,26.8,994.26
8/1/1998,28,1112.44
7/1/1998,29.9,1148.56
6/1/1998,28.44,1090.98
5/1/1998,28.3,1121
4/1/1998,28.26,1108.15
3/1/1998,27.23,1047.7
2/1/1998,25.85,1001.27
1/1/1998,24.29,975.04
12/1/1997,24.23,974.77
11/1/1997,23.46,938.99
10/1/1997,23.58,955.41
9/1/1997,23.06,927.58
8/1/1997,22.83,947.14
7/1/1997,22.8,891.03
6/1/1997,21.61,846.36
5/1/1997,20.6,798.53
4/1/1997,18.94,759.64
3/1/1997,19.69,795.31
2/1/1997,20.09,786.73
1/1/1997,19.53,737.01
12/1/1996,19.19,756.56
11/1/1996,19.45,703.77
10/1/1996,19,689.08
9/1/1996,18.75,654.72
8/1/1996,18.6,650.02
7/1/1996,18.26,675.88
6/1/1996,19.15,667.68
5/1/1996,19.1,654.58
4/1/1996,18.85,653.73
3/1/1996,19.01,644.37
2/1/1996,19.1,638.46
1/1/1996,18.08,620.73
12/1/1995,18.1,606.98
11/1/1995,17.33,584.22
10/1/1995,16.76,581.72
9/1/1995,16.45,563.84
8/1/1995,16.01,559.64
7/1/1995,16.07,547.09
6/1/1995,15.67,533.49
5/1/1995,15.5,514.26
4/1/1995,15.31,501.85
3/1/1995,15.15,485.65
2/1/1995,15.11,470.4
1/1/1995,14.89,459.11
12/1/1994,14.88,448.92
11/1/1994,15.62,468.42
10/1/1994,16.32,461.74
9/1/1994,17.09,473.17
8/1/1994,17.44,461.01
7/1/1994,17.42,446.2
6/1/1994,18.05,457.63
5/1/1994,18.5,453.02
4/1/1994,19,438.92
3/1/1994,20.42,464.44
2/1/1994,21.02,479.62
1/1/1994,21.34,465.44
12/1/1993,21.29,461.89
11/1/1993,21.63,469.1
10/1/1993,22.19,461.28
9/1/1993,22.5,463.15
8/1/1993,22.65,450.15
7/1/1993,22.72,449.02
6/1/1993,23.18,453.83
5/1/1993,22.83,442.46
4/1/1993,22.53,450.3
3/1/1993,22.69,442.01
2/1/1993,22.55,442.52
1/1/1993,22.5,435.38
12/1/1992,22.82,430.78
11/1/1992,22.56,422.75
10/1/1992,22.43,416.29
9/1/1992,23.2,416.07
8/1/1992,23.6,425.09
7/1/1992,23.88,412.88
6/1/1992,23.95,417.3
5/1/1992,24.75,412.53
4/1/1992,24.73,404.23
3/1/1992,25.16,412.45
2/1/1992,25.6,409.53
1/1/1992,25.93,417.26
12/1/1991,24.33,381.4
11/1/1991,23.27,391.32
10/1/1991,22.49,389.2
9/1/1991,21.73,392.15
8/1/1991,21.22,387.12
7/1/1991,20.14,377.92
6/1/1991,19.49,388.06
5/1/1991,18.98,380.29
4/1/1991,18.58,371.3
3/1/1991,17.78,370.47
2/1/1991,17.19,343.05
1/1/1991,15.35,326.45
12/1/1990,15.41,324.1
11/1/1990,14.68,307.02
10/1/1990,14.21,314.94
9/1/1990,14.51,323.09
8/1/1990,15.33,355.52
7/1/1990,16.81,359.54
6/1/1990,16.95,363.16
5/1/1990,16.37,332.25
4/1/1990,15.7,338.7
3/1/1990,15.62,332.74
2/1/1990,14.97,328.79
1/1/1990,15.13,359.69
12/1/1989,15.24,350.63
11/1/1989,14.7,341.2
10/1/1989,14.84,350.87
9/1/1989,14.66,353.73
8/1/1989,14.32,343.75
7/1/1989,13.43,319.23
6/1/1989,12.84,321.97
5/1/1989,12.49,309.12
4/1/1989,12.07,296.39
3/1/1989,11.73,287.11
2/1/1989,11.97,297.09
1/1/1989,11.82,275.31
12/1/1988,11.64,272.49
11/1/1988,11.57,279.06
10/1/1988,12.02,271.38
9/1/1988,11.79,258.35
8/1/1988,11.78,272.21
7/1/1988,12.22,271.78
6/1/1988,12.49,266.69
5/1/1988,12.41,261.56
4/1/1988,13.39,256.09
3/1/1988,14.29,267.22
2/1/1988,14.16,255.04
1/1/1988,14.02,255.94
12/1/1987,13.77,232
11/1/1987,14.45,255.75
10/1/1987,17.08,327.33
9/1/1987,20.09,323.4
8/1/1987,21.42,317.57
7/1/1987,20.81,302.94
6/1/1987,20.9,289.83
5/1/1987,19.74,288.03
4/1/1987,19.45,292.38
3/1/1987,19.37,283
2/1/1987,18.86,276.45
1/1/1987,18.01,246.45
12/1/1986,17.17,249.05
11/1/1986,16.78,245.8
10/1/1986,16.12,233.6
9/1/1986,16.05,248.52
8/1/1986,16.55,234.91
7/1/1986,16.28,252.04
6/1/1986,16.68,245.04
5/1/1986,16.28,235.16
4/1/1986,16.32,235.14
3/1/1986,16,225.42
2/1/1986,15.08,213.96
1/1/1986,14.28,209.59
12/1/1985,14.19,200.46
11/1/1985,13.33,191.53
10/1/1985,12.39,185.07
9/1/1985,12.09,187.91
8/1/1985,12.26,192.11
7/1/1985,12.43,192.43
6/1/1985,12.1,189.32
5/1/1985,11.65,178.37
4/1/1985,11.2,181.27
3/1/1985,10.95,183.23
2/1/1985,10.98,178.63
1/1/1985,10.36,165.37
12/1/1984,9.89,162.82
11/1/1984,10.01,167.49
10/1/1984,9.94,164.62
9/1/1984,10.03,164.88
8/1/1984,10,154.08
7/1/1984,9.26,153.2
6/1/1984,9.45,153.24
5/1/1984,9.86,161.68
4/1/1984,10.12,157.98
3/1/1984,10.31,158.19
2/1/1984,10.59,162.74
1/1/1984,11.52,164.04
12/1/1983,11.72,166.49
11/1/1983,11.98,163.66
10/1/1983,12.38,165.81
9/1/1983,12.57,164.23
8/1/1983,12.43,162.04
7/1/1983,13.02,168.64
6/1/1983,13.22,162.55
5/1/1983,13.09,162.11
4/1/1983,12.64,153.02
3/1/1983,12.23,150.88
2/1/1983,11.75,142.96
1/1/1983,11.48,138.34
12/1/1982,11.03,138.72
11/1/1982,10.67,135.47
10/1/1982,10.01,121.97
9/1/1982,9.03,118.25
8/1/1982,7.97,108.98
7/1/1982,7.83,108.71
6/1/1982,7.74,111.68
5/1/1982,8.09,116.82
4/1/1982,7.97,113.79
3/1/1982,7.48,113.31
2/1/1982,7.64,117.78
1/1/1982,7.73,122.74
12/1/1981,8.06,126.1
11/1/1981,8.02,124.2
10/1/1981,7.83,117.08
9/1/1981,7.75,123.02
8/1/1981,8.54,130.48
7/1/1981,8.55,129.77
6/1/1981,8.81,132.41
5/1/1981,8.86,132.72
4/1/1981,9.13,136.57
3/1/1981,9.14,132.01
2/1/1981,8.76,126.91
1/1/1981,9.02,136.34
12/1/1980,9.01,137.21
11/1/1980,9.19,129.04
10/1/1980,8.86,127.13
9/1/1980,8.64,123.74
8/1/1980,8.38,121.21
7/1/1980,8.07,114.93
6/1/1980,7.67,110.76
5/1/1980,7.15,105.46
4/1/1980,6.79,102.18
3/1/1980,6.85,112.5
2/1/1980,7.61,115.12
1/1/1980,7.39,105.76
12/1/1979,7.25,105.83
11/1/1979,7.01,102.57
10/1/1979,7.11,108.56
9/1/1979,7.42,107.44
8/1/1979,7.45,104.17
7/1/1979,7.23,101.99
6/1/1979,7.27,99.17
5/1/1979,7.25,101.68
4/1/1979,7.55,100.9
3/1/1979,7.53,96.9
2/1/1979,7.57,99.96
1/1/1979,7.88,96.73
12/1/1978,7.79,96.28
11/1/1978,7.84,96.85
10/1/1978,8.51,102.96
9/1/1978,8.98,103.68
8/1/1978,9.07,100.66
7/1/1978,8.57,95.09
6/1/1978,8.7,97.35
5/1/1978,8.75,97.67
4/1/1978,8.41,88.46
3/1/1978,8.13,87.19
2/1/1978,8.16,89.93
1/1/1978,8.28,93.82
12/1/1977,8.62,94.69
11/1/1977,8.71,91.35
10/1/1977,8.7,96.74
9/1/1977,8.99,96.83
8/1/1977,9.21,99.12
7/1/1977,9.53,100.1
6/1/1977,9.53,96.93
5/1/1977,9.58,98.93
4/1/1977,9.72,99.21
3/1/1977,9.98,100.66
2/1/1977,10.08,102.54
1/1/1977,10.41,107
12/1/1976,10.57,102.49
11/1/1976,10.34,103.1
10/1/1976,10.54,104.17
9/1/1976,11.05,104.06
8/1/1976,10.93,103.19
7/1/1976,11.14,103.59
6/1/1976,11.01,99.85
5/1/1976,11.18,100.92
4/1/1976,11.51,102.24
3/1/1976,11.67,100.02
2/1/1976,11.94,100.87
1/1/1976,11.82,90.9
12/1/1975,11.14,90.67
11/1/1975,11.41,88.09
10/1/1975,11.32,82.93
9/1/1975,10.91,85.48
8/1/1975,10.95,87.99
7/1/1975,11.72,94.85
6/1/1975,11.61,92.58
5/1/1975,11.09,88.1
4/1/1975,10.22,82.64
3/1/1975,9.91,83.03
2/1/1975,9.32,77.82
1/1/1975,8.3,70.23
12/1/1974,7.54,68.11
11/1/1974,8,73.88
10/1/1974,7.68,63.39
9/1/1974,7.48,70.52
8/1/1974,8.46,78.75
7/1/1974,8.95,86.02
6/1/1974,10.27,89.1
5/1/1974,10.41,92.22
4/1/1974,10.89,93.25
3/1/1974,11.66,95.53
2/1/1974,11.27,95.32
1/1/1974,11.68,97.68
12/1/1973,11.62,93.9
11/1/1973,12.74,107.69
10/1/1973,13.99,108.21
9/1/1973,13.73,104.51
8/1/1973,13.77,106.83
7/1/1973,14.33,102.9
6/1/1973,14.5,103.93
5/1/1973,15.13,107.1
4/1/1973,15.89,110.18
3/1/1973,16.53,111.05
2/1/1973,17.11,114.76
1/1/1973,18.09,119.1
12/1/1972,18.3,117.38
11/1/1972,18.19,112.67
10/1/1972,17.58,110.16
9/1/1972,17.82,111.51
8/1/1972,18.25,108.4
7/1/1972,17.79,107.49
6/1/1972,18.09,109.69
5/1/1972,18.2,106.69
4/1/1972,18.56,107.48
3/1/1972,18.54,107.35
2/1/1972,18.22,104.01
1/1/1972,18.01,101.67
12/1/1971,17.4,95.44
11/1/1971,16.54,92.8
10/1/1971,17.62,98.93
9/1/1971,18.31,99.07
8/1/1971,18.03,95.96
7/1/1971,18.48,99.78
6/1/1971,18.74,100.2
5/1/1971,19.22,103.29
4/1/1971,19.61,100.39
3/1/1971,19.08,97
2/1/1971,18.71,96.42
1/1/1971,18.12,91.15
12/1/1970,17.55,87.47
11/1/1970,16.19,83.51
10/1/1970,15.97,84.32
9/1/1970,15.41,80.95
8/1/1970,14.39,77.02
7/1/1970,13.85,72.94
6/1/1970,13.69,77.84
5/1/1970,13.69,81.44
4/1/1970,15.37,90.07
3/1/1970,15.75,89.71
2/1/1970,15.35,85.75
1/1/1970,15.76,93
12/1/1969,15.76,93.22
11/1/1969,16.54,97.15
10/1/1969,16.32,92.52
9/1/1969,16.05,95.54
8/1/1969,16.04,93.47
7/1/1969,16.17,98.08
6/1/1969,16.98,102.94
5/1/1969,17.93,103.51
4/1/1969,17.39,101.42
3/1/1969,17.06,98.38
2/1/1969,17.5,102.89
1/1/1969,17.65,103.93
12/1/1968,18.49,108.12
11/1/1968,18.41,103.06
10/1/1968,18.23,102.86
9/1/1968,17.9,99.32
8/1/1968,17.43,97.28
7/1/1968,17.91,99.4
6/1/1968,18.04,99.99
5/1/1968,17.71,97.97
4/1/1968,17.45,92.48
3/1/1968,16.38,89.11
2/1/1968,16.8,92.56
1/1/1968,17.71,96.11
12/1/1967,17.88,94.5
11/1/1967,17.42,92.71
10/1/1967,18.02,96.32
9/1/1967,18.08,93.68
8/1/1967,17.79,95.37
7/1/1967,17.48,90.91
6/1/1967,17.15,90.23
5/1/1967,17.24,93.84
4/1/1967,16.81,89.24
3/1/1967,16.41,87.68
2/1/1967,15.93,86.43
1/1/1967,15.31,80.38
12/1/1966,14.65,80.08
11/1/1966,14.63,80.81
10/1/1966,13.96,74.9
9/1/1966,14.12,77.7
8/1/1966,14.68,82.31
7/1/1966,15.67,85.61
6/1/1966,15.76,86.1
5/1/1966,16.01,90.9
4/1/1966,17.03,89.94
3/1/1966,16.64,90.06
2/1/1966,17.52,92.16
1/1/1966,17.81,92.18
12/1/1965,17.67,91.5
11/1/1965,18,92.23
10/1/1965,18.1,89.9
9/1/1965,17.95,87.17
8/1/1965,17.53,85.42
7/1/1965,17.38,84.48
6/1/1965,17.57,88.72
5/1/1965,18.65,89.23
4/1/1965,18.59,86.32
3/1/1965,18.55,87.25
2/1/1965,18.71,87.58
1/1/1965,18.75,84.23
12/1/1964,18.45,83.55
11/1/1964,18.89,85.18
10/1/1964,18.87,84.08
9/1/1964,18.66,82.18
8/1/1964,18.54,83
7/1/1964,19.01,82.27
6/1/1964,18.53,80.11
5/1/1964,18.86,80.17
4/1/1964,18.9,79.24
3/1/1964,18.85,77.97
2/1/1964,18.75,76.97
1/1/1964,18.77,75.43
12/1/1963,18.45,73.66
11/1/1963,18.16,73.83
10/1/1963,18.35,72.22
9/1/1963,18.4,72.66
8/1/1963,18.11,69.07
7/1/1963,17.8,68.86
6/1/1963,18.26,70.69
5/1/1963,18.47,69.97
4/1/1963,18.32,66.85
3/1/1963,17.7,64.1
2/1/1963,17.83,66.31
1/1/1963,17.66,62.69
12/1/1962,17.07,61.94
11/1/1962,16.57,57.12
10/1/1962,15.7,55.49
9/1/1962,16.43,58.56
8/1/1962,16.67,57.75
7/1/1962,16.32,55.86
6/1/1962,16.03,59.38
5/1/1962,18.33,65.7
4/1/1962,20,69.37
3/1/1962,20.86,70.2
2/1/1962,21.21,69.26
1/1/1962,21.25,70.96
